geolocation_zip_code_prefix,geolocation_lat,gelocation_lng,geolocation_city,geolocation_state
1001,-23.550189776551765,-46.6340235559042,sao paulo,SP
1005,-23.549456199830747,-46.63673294803691,sao paulo,SP
1006,-23.55010181145287,-46.636136735174176,sao paulo,SP
1007,-23.550046202351666,-46.637251459637646,sao paulo,SP
1008,-23.54600174938346,-46.63588592135778,sao paulo,SP
1011,-23.54690864025111,-46.63558202636042,sao paulo,SP
1012,-23.547789733146864,-46.63485900505736,sao paulo,SP
1013,-23.5471420283239,-46.63423580006204,sao paulo,SP
1015,-23.54766574938348,-46.631558570722675,sao paulo,SP
1021,-23.543000459064803,-46.63214323386248,sao paulo,SP
1026,-23.539657127270946,-46.6318842127058,sao paulo,SP
1027,-23.538082328385336,-46.6306686750678,sao paulo,SP
1031,-23.54190585344045,-46.63508761691669,sao paulo,SP
1033,-23.539271437077804,-46.635878084214845,sao paulo,SP
1035,-23.541614488738944,-46.641549142526515,sao paulo,SP
1040,-23.541028179008823,-46.63832469496941,sao paulo,SP
1041,-23.54390458746036,-46.640046486444724,sao paulo,SP
1043,-23.545765991186382,-46.641502464541404,sao paulo,SP
1044,-23.545598238423416,-46.64145267015315,sao paulo,SP
1047,-23.546187607081748,-46.64106743356167,sao paulo,SP
1048,-23.54711318884073,-46.63983987489639,sao paulo,SP
1049,-23.54701123674601,-46.63916570493306,sao paulo,SP
1050,-23.54922916358051,-46.64303023455153,sao paulo,SP
1103,-23.53546844605213,-46.630290773383486,sao paulo,SP
1107,-23.52608789203137,-46.6295898871866,sao paulo,SP
1121,-23.527866658998825,-46.635256920492864,sao paulo,SP
1123,-23.529164543710603,-46.636582392674725,sao paulo,SP
1126,-23.52706654933756,-46.6391527868084,sao paulo,SP
1129,-23.524051385464382,-46.64507304012999,sao paulo,SP
1131,-23.522379737671027,-46.64310784736644,sao paulo,SP
1135,-23.52619042672918,-46.650970041202214,sao paulo,SP
1136,-23.523986920181713,-46.66135135045779,sao paulo,SP
1139,-23.520724956071753,-46.66593897144172,sao paulo,SP
1150,-23.53295302359728,-46.658245942661345,sao paulo,SP
1153,-23.529930846298754,-46.653549086904356,sao paulo,SP
1201,-23.53608280967418,-46.649539390469315,sao paulo,SP
1203,-23.53596465666132,-46.64529955632679,sao paulo,SP
1205,-23.536490774893963,-46.64264196680963,sao paulo,SP
1206,-23.53586368511747,-46.64281871336397,sao paulo,SP
1209,-23.540695255566067,-46.64158293572283,sao paulo,SP
1210,-23.540039340558916,-46.64209131081347,sao paulo,SP
1212,-23.538268511790665,-46.63942263256764,sao paulo,SP
1214,-23.538842493961862,-46.645230453060144,sao paulo,SP
1218,-23.531249798864057,-46.648325141054045,sao paulo,SP
1220,-23.544514011109737,-46.64603990221942,sao paulo,SP
1221,-23.544867697472082,-46.64828171537101,sao paulo,SP
1222,-23.545944543972997,-46.64936937401519,sao paulo,SP
1224,-23.54177865147579,-46.65242233963953,sao paulo,SP
